# freq,|S21|,Phase
6.610000000000000000e+07,9.676890000000000214e-01,4.462870000000000203e+01
6.625000000000000000e+07,9.674570000000000114e-01,4.440890000000000271e+01
6.640000000000000000e+07,9.671079999999999677e-01,4.434380000000000166e+01
6.655000000000000000e+07,9.664150000000000240e-01,4.419859999999999900e+01
6.670000000000000000e+07,9.680180000000000451e-01,4.416879999999999740e+01
6.685000000000000000e+07,9.681340000000000501e-01,4.405460000000000065e+01
6.700000000000000000e+07,9.675209999999999644e-01,4.393010000000000304e+01
6.715000000000000000e+07,9.673180000000000112e-01,4.378340000000000032e+01
6.730000000000000000e+07,9.671490000000000364e-01,4.373790000000000333e+01
6.745000000000000000e+07,9.669609999999999594e-01,4.353560000000000230e+01
6.760000000000000000e+07,9.671490000000000364e-01,4.351109999999999900e+01
6.775000000000000000e+07,9.679649999999999643e-01,4.341919999999999646e+01
6.790000000000000000e+07,9.671920000000000517e-01,4.329729999999999990e+01
